REF,ChangeKey,Unnamed: 0,Company Name,Location,Country,Space_Code,,Launch Date,Datum,Vehicle Type,Detail,Status Rocket, Rocket,Status Mission
3427,RVSN USSR25844,3427,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/3/1970,"Sat Oct 03, 1970 10:26 UTC",Tsyklon-2 ,Tsyklon-2 | Cosmos 367,StatusRetired,,Success
3428,RVSN USSR25842,3428,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/1/1970,"Thu Oct 01, 1970 08:20 UTC",Voskhod ,Voskhod | Cosmos 366,StatusRetired,,Success
3429,RVSN USSR25840,3429,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,9/29/1970,"Tue Sep 29, 1970 08:14 UTC",Molniya-M /Block L ,Molniya-M /Block L | Molniya-1 nâ€ Â­19,StatusRetired,,Success
3430,RVSN USSR25836,3430,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,9/25/1970,"Fri Sep 25, 1970 14:05 UTC",Tsyklon ,Tsyklon | Cosmos 365,StatusRetired,,Success
3431,RVSN USSR25833,3431,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,Site,,9/22/1970,"Tue Sep 22, 1970 13:00 UTC",Voskhod ,Voskhod | Cosmos 364,StatusRetired,,Success
3432,ISAS25833,3432,ISAS,"Mu Pad, Uchinoura Space Center, Japan",Japan,Mu,,9/22/1970,"Tue Sep 22, 1970 05:00 UTC",Mu-IV S ,Mu-IV S | Shinsei,StatusRetired,,Failure
3433,RVSN USSR25828,3433,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,9/17/1970,"Thu Sep 17, 1970 08:10 UTC",Voskhod ,Voskhod | Cosmos 363,StatusRetired,,Success
3434,RVSN USSR25827,3434,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,9/16/1970,"Wed Sep 16, 1970 12:00 UTC",Cosmos-2I (63SM) ,Cosmos-2I (63SM) | Cosmos 362,StatusRetired,,Success
3435,RVSN USSR25823,3435,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,9/12/1970,"Sat Sep 12, 1970 13:25 UTC",Proton K/Block D ,Proton K/Block D | Luna-16,StatusRetired,,Success
3436,RVSN USSR25819,3436,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,Site,,9/8/1970,"Tue Sep 08, 1970 10:30 UTC",Voskhod ,Voskhod | Cosmos 361,StatusRetired,,Success
3437,General Dynamics25812,3437,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",USA,LC-13,,9/1/1970,"Tue Sep 01, 1970 01:00 UTC",Atlas-SLV3A Agena-D ,Atlas-SLV3A Agena-D | AFP-827 (Canyon-3),StatusRetired,,Success
3438,RVSN USSR25809,3438,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,8/29/1970,"Sat Aug 29, 1970 08:30 UTC",Voskhod ,Voskhod | Cosmos 360,StatusRetired,,Success
